theta_0,theta_1,distances,
0.00286007, 0.0396907, 87.8926, 
0.0028586, 0.0952927, 57.6922, 
0.00237865, 0.199416, 216.658, 
0.000460556, 0.199352, 321.17, 
0.00030587, 0.164544, 321.868, 
0.000330504, 0.0278776, 276.355, 
0.00117247, 0.022098, 120.035, 
0.00252337, 0.15609, 121.785, 
0.00125451, 0.0670222, 109.5, 
0.00139882, 0.0352228, 83.3595, 
0.000239517, 0.0807868, 319.555, 
0.000241039, 0.128208, 322.827, 
0.00109985, 0.173761, 300.6, 
0.00195417, 0.0969133, 62.8843, 
0.00214574, 0.0557017, 58.7489, 
0.00124776, 0.185756, 292.795, 
0.00250185, 0.13863, 95.3678, 
0.000451567, 0.17905, 320.946, 
0.00219727, 0.0995221, 52.7177, 
0.00218449, 0.039169, 77.1755, 
0.00214456, 0.066116, 48.0445, 
0.0016089, 0.186216, 281.604, 
0.00162288, 0.0482291, 62.0154, 
0.00175589, 0.0163738, 137.63, 
9.25756e-05, 0.0666418, 324.275, 
0.00246102, 0.0796863, 54.4487, 
0.002206, 0.107441, 51.7, 
0.00296956, 0.0613042, 80.1729, 
0.000580759, 0.157362, 314.509, 
0.00259763, 0.178972, 156.274, 
0.00217567, 0.148804, 149.299, 
0.00117898, 0.0557089, 106.5, 
0.0028729, 0.0591534, 79.1108, 
0.00250748, 0.0394163, 81.8818, 
0.000473726, 0.040209, 266.163, 
0.000935114, 0.163797, 307.603, 
0.00166421, 0.0483984, 63.3742, 
0.00147659, 0.0305933, 89.5889, 
0.00158702, 0.048972, 62.7318, 
0.00284557, 0.170462, 86.1696, 
0.00269777, 0.112192, 44.8464, 
0.00167848, 0.125043, 190.702, 
0.00164997, 0.129662, 195.138, 
0.0011924, 0.155156, 278.759, 
0.000870531, 0.107451, 291.631, 
0.0014299, 0.0453724, 76.0376, 
0.00202217, 0.18463, 239.73, 
0.000123247, 0.00686798, 315.352, 
0.000696579, 0.189749, 317.027, 
0.000790351, 0.109086, 289.63, 
0.00102638, 0.04892, 130.531, 
0.000565538, 0.138766, 311.426, 
0.00257231, 0.093722, 47.1945, 
0.00137229, 0.188348, 286.831, 
0.00111927, 0.00848164, 210.11, 
0.00226941, 0.0135086, 154.782, 
0.0016704, 0.124869, 175.557, 
0.0014709, 0.00999791, 186.902, 
0.00299553, 0.163625, 87.0282, 
0.00274395, 0.153247, 92.9904, 
0.00203098, 0.0714518, 50.6899, 
0.00175138, 0.149446, 227.092, 
0.00121131, 0.0216371, 121.409, 
0.00238082, 0.0915717, 48.5782, 
0.00113385, 0.0816482, 194.859, 
0.00195545, 0.0338884, 80.6671, 
7.9137e-05, 0.140518, 325.567, 
0.000945567, 0.0515619, 148.652, 
0.00234779, 0.0154618, 143.291, 
0.000635352, 0.197485, 316.841, 
0.00207272, 0.0708142, 46.2307, 
0.00162871, 0.0792778, 72.8557, 
0.00113763, 0.170441, 296.352, 
0.00163698, 0.0971716, 112.071, 
0.00220834, 0.0228808, 109.81, 
0.00272733, 0.122902, 57.7436, 
0.00203141, 0.0785358, 49.2182, 
0.000933813, 0.00645401, 239.591, 
0.00161227, 0.110604, 152.157, 
0.00145369, 0.143489, 251.116, 
0.00245703, 0.0477834, 73.5464, 
0.00227414, 0.00527034, 252.572, 
0.00275856, 0.173574, 123.441, 
5.92817e-05, 0.186879, 325.739, 
0.00229399, 0.021865, 112.766, 
0.00240433, 0.127849, 71.9943, 
0.000863893, 0.160025, 308.573, 
0.000410807, 0.0181022, 235.425, 
0.00159387, 0.104615, 154.292, 
0.000843091, 0.0853101, 262.64, 
0.000746629, 0.156967, 311.299, 
0.00195394, 0.0482855, 62.8754, 
0.00230584, 0.107676, 51.8741, 
0.00270661, 0.135402, 64.5624, 
0.000537178, 0.148923, 315.022, 
0.00160351, 0.103035, 139.846, 
0.000492121, 0.0772165, 298.661, 
0.00111, 0.0740554, 171.15, 
